file,ag_mean,ag_pval_sig,al_mean,al_pval_sig,gl_mean,gl_pval_sig
20News_sports+average+dot.csv,-0.175388286737984,0.71,0.035774322992393,0.31,0.3521774034338494,0.77
20News_sports+average+tanh.csv,0.7210213741958044,0.99,0.7717328661796303,1.0,0.6222213918241001,0.96
"20News_sports+cnn(1,3,5,7)+dot.csv",0.1854050645443568,0.61,,0.42,,0.95
"20News_sports+cnn(1,3,5,7)+tanh.csv",0.321793894097313,0.85,0.4464573620444159,0.94,0.5488310583424386,0.97
20News_sports+lstm+dot.csv,0.0666101703176511,0.38,0.1315530154539083,0.48,0.4990266456727015,0.99
20News_sports+lstm+tanh.csv,0.1229423620145218,0.44,0.1304799715206186,0.48,0.5340189816329753,0.99
HipSurgery+average+dot.csv,0.0641351790178751,0.91,0.2873656338219721,1.0,0.483534231665816,1.0
HipSurgery+average+tanh.csv,0.5861139697676963,1.0,0.6068832285485205,1.0,0.5064505174504448,0.98
"HipSurgery+cnn(1,3,5,7)+dot.csv",0.2676280305567051,0.99,0.1752397160482615,1.0,0.4941357670589122,1.0
"HipSurgery+cnn(1,3,5,7)+tanh.csv",0.4277497002911668,1.0,0.474153630245857,1.0,0.5556619916449751,1.0
HipSurgery+lstm+dot.csv,0.0466385523759245,0.85,0.345066214887404,1.0,0.4344593119868342,1.0
HipSurgery+lstm+tanh.csv,0.4934402677655797,1.0,0.5587517988276105,1.0,0.6999819390485524,1.0
KneeSurgery+average+dot.csv,-0.0517904651278706,0.79,0.1716336894245687,0.95,0.3592732309170003,1.0
KneeSurgery+average+tanh.csv,0.6843369992926688,1.0,0.5761308759684998,1.0,0.4514531413562452,1.0
"KneeSurgery+cnn(1,3,5,7)+dot.csv",0.2078965245911634,0.99,0.1981375891854452,0.99,0.4609976811924006,0.99
"KneeSurgery+cnn(1,3,5,7)+tanh.csv",0.358128053602385,1.0,0.3855996770138802,1.0,0.4266356854574146,1.0
KneeSurgery+lstm+dot.csv,-0.0023555065572568,0.81,0.1464766947568556,0.88,0.3369276551616837,1.0
KneeSurgery+lstm+tanh.csv,0.1627108962882341,0.79,0.2805571208054587,1.0,0.3216529283975061,1.0
agnews+average+dot.csv,0.4610697206531806,0.84,0.6383729616664336,1.0,0.4445910208338448,0.86
agnews+average+tanh.csv,0.5072351397756094,0.97,0.7704198990195408,1.0,0.4943189171603127,0.94
"agnews+cnn(1,3,5,7)+dot.csv",0.3672701695224903,0.86,0.3905883920321286,0.88,0.4207735633247884,0.85
"agnews+cnn(1,3,5,7)+tanh.csv",0.3596008539194355,0.83,0.491384821613962,0.98,0.4618612628728047,0.94
agnews+lstm+dot.csv,0.1750436295581395,0.31,0.3048550953811016,0.69,0.4564399827681946,0.93
agnews+lstm+tanh.csv,0.3671958074514418,0.8,0.3887199272063359,0.86,0.6117554865182391,0.99
anemia+average+dot.csv,0.5642630238458972,1.0,0.6043988610976888,1.0,0.461669305038462,1.0
anemia+average+tanh.csv,0.7384017503465153,1.0,0.7686146693643084,1.0,0.6990966742786242,1.0
"anemia+cnn(1,3,5,7)+dot.csv",,0.99,,0.94,,0.94
"anemia+cnn(1,3,5,7)+tanh.csv",0.4964755894657645,1.0,0.4449287773622988,1.0,0.6135201110508857,1.0
anemia+lstm+dot.csv,0.2887931839131182,1.0,0.4762932461569262,1.0,0.2859081470760526,1.0
anemia+lstm+tanh.csv,0.4652882951379393,1.0,0.4633289983728495,1.0,0.6786489702203463,1.0
babi_1+average+dot.csv,0.8171905470275876,0.98,0.7133205145365712,0.99,0.6837843901841695,0.98
babi_1+average+tanh.csv,0.7345354760726466,0.99,0.717355118376302,0.99,0.691275907881537,0.99
"babi_1+cnn(1,3,5,7)+dot.csv",0.1101984805408756,0.13,0.1685039541427682,0.27,0.5482000135228837,0.93
"babi_1+cnn(1,3,5,7)+tanh.csv",0.1596909645593384,0.23,0.2447315115654866,0.51,0.3037611727717642,0.65
babi_1+lstm+dot.csv,0.4215373601573151,0.8,0.4370275742705495,0.83,0.4133871665255575,0.78
babi_1+lstm+tanh.csv,0.1604218515219607,0.28,0.2507534473814078,0.55,0.498597035613765,0.84
babi_2+average+dot.csv,0.8862662448571506,1.0,0.5995468824110569,0.99,0.575191404987288,0.99
babi_2+average+tanh.csv,0.6465632333707222,1.0,0.6776927560682566,1.0,0.4742907186043755,0.99
"babi_2+cnn(1,3,5,7)+dot.csv",0.2437411957116596,0.88,0.1521712478100069,0.53,0.4135111138597604,0.99
"babi_2+cnn(1,3,5,7)+tanh.csv",0.1858425027001904,0.71,0.1805343246986269,0.66,0.3745233323922095,0.98
babi_2+lstm+dot.csv,0.2204154518105376,0.68,0.1695746256254391,0.57,0.279966669803072,0.83
babi_2+lstm+tanh.csv,-0.0136440881579671,0.27,-0.0167986158613514,0.27,0.4366516600664509,0.91
babi_3+average+dot.csv,0.7483026613821355,1.0,0.4801673291341888,1.0,0.4114191931512945,0.98
babi_3+average+tanh.csv,0.724819926934582,1.0,0.6073142873154679,1.0,0.5462335969923954,1.0
"babi_3+cnn(1,3,5,7)+dot.csv",0.0815882437638072,0.44,0.0144391963733762,0.12,0.5248439919758628,1.0
"babi_3+cnn(1,3,5,7)+tanh.csv",0.1781829965997055,0.91,0.1799750573051078,0.91,0.4651504816504192,1.0
babi_3+lstm+dot.csv,0.3424727480941877,0.92,0.2994494024828333,0.89,0.3952941331848591,0.97
babi_3+lstm+tanh.csv,0.2555467572570031,0.89,0.239037844723407,0.87,0.4989927950479231,0.97
cnn+average+dot.csv,0.6346013571792192,1.0,0.5136760668824145,1.0,0.5529553460709117,1.0
cnn+average+tanh.csv,0.688557053638014,1.0,0.5013327584339594,1.0,0.5709238177455198,1.0
"cnn+cnn(1,3,5,7)+dot.csv",0.2160029541960141,0.99,0.2215903265999446,0.99,0.5397221563929763,1.0
"cnn+cnn(1,3,5,7)+tanh.csv",0.183120681715149,0.98,0.1957747350037701,0.99,0.5687042896897987,1.0
cnn+lstm+dot.csv,0.2152330039695056,0.92,0.1760718842760471,0.86,0.4100122761858966,1.0
cnn+lstm+tanh.csv,0.1972204584058603,0.98,0.2359318083062525,0.99,0.5415427263446972,1.0
diab+average+dot.csv,0.5122598142584684,1.0,0.5198349849950474,1.0,0.4309172391842322,1.0
diab+average+tanh.csv,0.7135758953472199,1.0,0.7496634244880519,1.0,0.6222213147194353,1.0
"diab+cnn(1,3,5,7)+dot.csv",0.4196759319786016,1.0,0.4629028203834164,1.0,0.5102613173572687,1.0
"diab+cnn(1,3,5,7)+tanh.csv",0.353329192737954,1.0,0.4061398353142708,1.0,0.4402387598853788,1.0
diab+lstm+dot.csv,0.0866810178116669,0.94,0.2225063402075624,1.0,0.2505772127870292,1.0
diab+lstm+tanh.csv,0.4210034106820684,1.0,0.4170557058392678,1.0,0.505907551241081,1.0
imdb+average+dot.csv,0.2006712047285966,0.87,,0.84,,0.99
imdb+average+tanh.csv,0.5763489749559327,1.0,0.6747505716302005,1.0,0.6394211968946929,1.0
"imdb+cnn(1,3,5,7)+dot.csv",0.3647215679522977,0.99,0.3458096315294418,0.99,0.5952357601188463,1.0
"imdb+cnn(1,3,5,7)+tanh.csv",0.2948175423659829,0.98,0.4515791053243589,1.0,0.5131244878690772,1.0
imdb+lstm+dot.csv,0.0916295933387019,0.45,0.1222741075301,0.62,0.6022280581043568,1.0
imdb+lstm+tanh.csv,0.3412680324012641,0.99,0.4371574309614571,1.0,0.516875303892238,1.0
mortality+average+dot.csv,0.6067437197454906,1.0,0.4512448637966567,1.0,0.4397437370329886,1.0
mortality+average+tanh.csv,0.7560398864092507,1.0,0.7392826183463076,1.0,0.6830059467617462,1.0
"mortality+cnn(1,3,5,7)+dot.csv",0.2744524465273182,0.99,0.24016475480131,0.98,0.5149580692765833,1.0
"mortality+cnn(1,3,5,7)+tanh.csv",0.2809425511067383,1.0,0.2709243605382424,1.0,0.6028861413678822,1.0
snli+average+dot.csv,0.527369301081605,0.75,0.5002501300036313,0.7,0.434139991104978,0.59
snli+average+tanh.csv,0.5933580428652148,0.81,0.5822013721140598,0.8,0.5866432631161707,0.78
"snli+cnn(1,3,5,7)+dot.csv",0.2882872943096018,0.32,0.2706100262685239,0.3,0.2939342289088928,0.35
"snli+cnn(1,3,5,7)+tanh.csv",0.2639701780365313,0.29,0.2348412597999905,0.25,0.3397409264537695,0.43
snli+lstm+dot.csv,0.1560968288448567,0.13,0.115709209655912,0.11,0.3097922580344449,0.35
snli+lstm+tanh.csv,0.2895343660893371,0.35,0.3137637517096388,0.37,0.2401907629520926,0.25
sst+average+dot.csv,0.3140004837394424,0.42,0.3472580292841846,0.5,0.6607978491637511,0.82
sst+average+tanh.csv,0.6226055611525542,0.88,0.6058161089641665,0.85,0.5580479600863579,0.73
"sst+cnn(1,3,5,7)+dot.csv",0.2152207008933395,0.21,0.2401675838126187,0.25,0.6357248345066272,0.82
"sst+cnn(1,3,5,7)+tanh.csv",0.3517114987837484,0.51,0.4769967733453721,0.75,0.4878710571584752,0.74
sst+lstm+dot.csv,0.0635726310001869,0.07,0.0734609203647593,0.09,0.7077708488080213,0.94
sst+lstm+tanh.csv,0.2913428340427131,0.36,0.3511545853457849,0.49,0.6558694976630044,0.91
tweet+average+dot.csv,-0.0464690180144959,0.03,-0.0475962300590036,0.15,0.5108303921856113,0.7
tweet+average+tanh.csv,0.5913582627626341,0.86,0.726304677746945,0.97,0.5877198619124346,0.76
"tweet+cnn(1,3,5,7)+dot.csv",0.1800918605864399,0.24,,0.14,,0.67
"tweet+cnn(1,3,5,7)+tanh.csv",0.3586347397444137,0.59,0.4318235446168872,0.72,0.4578524614702466,0.73
tweet+lstm+dot.csv,0.0025860367490798,0.11,-0.1162844803434677,0.27,0.4975823589222726,0.76
tweet+lstm+tanh.csv,0.319234106089846,0.5,0.4739547934087162,0.78,0.4836334872838431,0.75
